"Player","Injury","Game Status","Position","Week","nameConvert","played","Team"
"Bradford, Sam","concussion, left shoulder","Questionable","QB",12,"Sam Bradford","no","PHI"
"Ertz, Zach","concussion","Out","TE",12,"Zach Ertz","no","PHI"
"Mathews, Ryan","concussion, groin","Out","RB",12,"Ryan Mathews","no","PHI"
"Randle, Rueben","hamstring","Day-to-Day","WR",12,"Rueben Randle","yes","NYG"
"Bell, Joique","ankle","Day-to-Day","RB",12,"Joique Bell","yes","DET"
"Ebron, Eric","quadriceps, hand","Probable","TE",12,"Eric Ebron","yes","DET"
"Johnson, Calvin","ankle","Questionable","WR",12,"Calvin Johnson","yes","DET"
"Stafford, Matthew","left hand","Day-to-Day","QB",12,"Matthew Stafford","yes","DET"
"Benjamin, Kelvin","torn left ACL","Day-to-Day","WR",12,"Kelvin Benjamin","no",NA
"Brown, Corey","shoulder","Questionable","WR",12,"Corey Brown","no",NA
"Cotchery, Jerricho","high ankle sprain","Day-to-Day","WR",12,"Jerricho Cotchery","yes","CAR"
"Ginn Jr., Ted","knee","Probable","WR",12,"Ted Ginn Jr.","no","CAR"
